BKG_NO,BKG_DT,BKG_SHPR_CST_NO,BKG_SHPR_CST_ENM,ACT_SHPR_CST_ENM,POR_PLC_CD,POL_PORT_CD,POD_PORT_CD,DLY_PLC_CD,FRT_PNC_CD,TEU
TH00555561,20200103,ACC05T,ACCORD PILOT LOGISTICS (THAILAND)  CO.,LTD.,THAI MALAYA GLASS,BKK,BKK,SHA,SHA,P,2
TH00555720,20200103,ACC05T,ACCORD PILOT LOGISTICS (THAILAND)  CO.,LTD.,HANWHA CHEMICAL,BKK,BKK,SHA,SHA,P,1
MY00376090,20200103,ACS901,ALAMI COMMODITIES SDN. BHD.,ALAMI COMMODITIES SDN BHD,PKG,PKG,DLC,DLC,P,2
HK01069930,20200103,ADGZ00,GUANGZHOU A&D LOGISTICS CO.,LTD,GUANGDI MAOMING CHEMICAL CO.,L,NNS,NNS,SGN,SGN,P,3
IN00236600,20200103,AF1211,AFFORD FREIGHT SERVICES  PVT. LTD. ,COLOURTEX INDUSTRIES PVT. LTD.,HZR,HZR,SIN,SIN,P,1
IN00236601,20200103,AF1211,AFFORD FREIGHT SERVICES  PVT. LTD. ,COLOURTEX INDUSTRIES PVT. LTD.,HZR,HZR,SIN,SIN,P,2
HK01069724,20200103,AFGZ00,SHANGHAI AMASS LOGISTICS CO.,LTD GUANGZHOU BRANCH,AMASS,HUA,HUA,INC,INC,C,1
TH00555717,20200103,AGI01T,AGILITY CO.,LTD.,MONDELEZ ,LCH,LCH,SHA,SHA,P,6
SG00262172,20200103,AGPS06,AM GLOBAL PTE LTD ,SAK,SIN,SIN,INC,INC,P,1
SG00262171,20200103,AGPS06,AM GLOBAL PTE LTD ,AM GLOBAL PTE LTD,SIN,SIN,TAO,TAO,P,5
HK01069839,20200103,AHGZ02,ANHUAI CO.,LTD,ANHUAI CO.,LTD,JIU,JIU,PUS,PUS,C,2
ID00589208,20200103,AICI02,PT. APAC INTI CORPORA,PT APAC INTI CORPORA,SRG,SRG,PUS,PUS,P,2
